Molality,Monomer Molecular Weight,Degree of Polymerization,CONDUCTIVITY,Mol_smiles_clean,is_valid,Topological_diameter_bonds,BRICS_unique_frag_count,BRICS_largest_frag_heavy_atoms,Fgroup_carbonyl,Fgroup_ester,Fgroup_amide,Fgroup_ether,Fgroup_alcohol,RingCount,AromaticAtomCount,Hybrid_SP,Hybrid_SP2,Hybrid_SP3,NumHDonors,NumHAcceptors,EState_sum,EState_max,EState_min,EState_std,EState_mean,Gasteiger_max,Gasteiger_min,Gasteiger_mean,Gasteiger_std,SASA_sum,MolLogP,TPSA,NumRotatableBonds,FractionCSP3,R_eff,D,Tg,eta
1.4005,467.71,19.0,7.5748e-05,COCC(CNCC(CF)OC(=O))O,True,10.0,5,4,1,1,0,2,1,0,0,0,3,11,2,5,43.166666666666664,12.105996551398338,-0.7895880574452006,4.210615945044031,3.083333333333333,0.29299404892409964,-0.460431630057729,-0.08749250871126642,0.23361144779810053,104.81634461944415,-0.9055999999999997,67.79,9,0.875,7.762332083291364e-10,3.3309234074447373e-10,101.32900000000001,115.67237442922375
1.4735,475.72,13.0,6.952e-05,O=C(CCNC(=O)COC(=O))NCCN,True,12.0,5,4,3,1,2,1,0,0,0,0,9,6,3,5,46.333333333333336,10.992086718946839,-0.43636587196607013,4.06348914626043,3.088888888888889,0.2930886405067509,-0.457795325746466,-0.08302556805353839,0.24667148659451102,108.63835645394332,-2.2593999999999976,110.52,8,0.625,7.806394055742837e-10,3.312122530321602e-10,111.676,178.3961661341853
1.4422,462.68,17.0,0.00010438,NC(=O)C(COC(=O))NC(=O)CCO,True,9.0,4,5,3,1,2,1,1,0,0,0,9,5,3,5,48.16666666666667,10.898290816326531,-1.0562500000000001,4.502828344474004,3.4404761904761907,0.292666842046471,-0.4651372266105664,-0.08943113704100135,0.2622048478247687,97.33148803352015,-2.488099999999999,118.72000000000001,7,0.5714285714285714,7.734404990871021e-10,3.3429505777253976e-10,113.012,197.4255053656102
1.4327,476.75,16.0,2.6533e-05,CC(COC(=O))COC(=O)C(C)(C)CO,True,10.0,4,7,2,2,0,2,1,0,0,0,6,9,1,5,43.75,11.381498015873017,-0.8836942161123709,3.946091232054859,2.9166666666666665,0.3133554576364725,-0.46747850660602014,-0.067782808267725,0.2411397490871902,114.74423772984413,0.3572,72.83,7,0.8,7.812023970995326e-10,3.3097355728287923e-10,105.24100000000001,131.38701622971286
1.468,477.69,26.0,3.8499e-05,COC(=O)CC(=O)NC(CO)COC(=O),True,10.0,5,5,3,2,1,2,1,0,0,0,9,6,2,6,49.666666666666664,11.077874149659864,-0.7154109977324266,4.407540170740515,3.311111111111111,0.31453939529705155,-0.46861955843753783,-0.0765480517704998,0.272433070193637,104.75894191610203,-1.8003999999999993,101.93,7,0.625,7.817154879291139e-10,3.307563177632612e-10,111.155,177.56389776357827
1.4787,477.69,31.0,4.1056e-05,COC(=O)CC(=O)NCC(CO)OC(=O),True,10.0,5,5,3,2,1,2,1,0,0,0,9,6,2,6,49.666666666666664,10.999532312925169,-0.8017620937263799,4.3932714133866515,3.311111111111111,0.3145392267651825,-0.46861955933313193,-0.07543154985911524,0.2730339285313211,104.75894191610203,-1.8003999999999993,101.93,7,0.625,7.817154879291139e-10,3.307563177632612e-10,111.155,177.56389776357827
1.4418,461.74,19.0,2.7746e-05,CC(O)C(=O)NC(C)C(C)(C)OC(=O),True,8.0,4,5,2,1,1,1,1,0,0,0,6,8,2,4,41.58333333333333,11.09917044595616,-1.0652952569916863,4.008001651434909,2.970238095238095,0.2931864124663294,-0.4596985247345731,-0.06950565107249143,0.22980546517689518,107.4686987016192,-0.17650000000000032,75.63,5,0.7777777777777778,7.72916359304962e-10,3.3452175415002225e-10,106.30000000000001,136.49593379940077
1.4056,460.75,16.0,3.1809e-05,CC(CCN(C)C(=O)CCN)OC(=O),True,10.0,4,5,2,1,1,1,0,0,0,0,6,8,1,4,38.50000000000001,11.24900179516251,-0.15219765684051434,3.5823660391186536,2.7500000000000004,0.2928435417295127,-0.46481258532298275,-0.07200669455783577,0.2173610538810074,109.60068400731018,-0.2547999999999992,72.63,7,0.7777777777777778,7.72363570059866e-10,3.3476117511071104e-10,103.601,133.03024682551006
1.3868,448.7,19.0,8.4612e-05,CC(CNC(COC(=O))C(N)=O)O,True,8.0,4,5,2,1,1,1,1,0,0,0,6,7,3,5,41.33333333333334,10.700041572184428,-0.7501851851851853,4.048978104392856,3.17948717948718,0.2926483232410745,-0.4656694661512968,-0.09550069283833472,0.24717216456995403,95.97990693381199,-2.016299999999999,101.64999999999999,7,0.7142857142857143,7.655707930523739e-10,3.377314530182925e-10,108.2,151.26822448572
1.323,462.72,31.0,7.2499e-05,CC(C)NC(=O)NCC(COC(=O))O,True,10.0,5,4,2,1,2,1,1,0,0,0,7,7,3,4,41.83333333333334,10.988025793650793,-0.8767479213907785,3.902500710345156,2.9880952380952386,0.31457941347988394,-0.46507134783649584,-0.08674357562856226,0.24364147656022075,105.3067049029012,-0.7720999999999998,87.66000000000001,6,0.75,7.734627871540583e-10,3.342854247420249e-10,107.804,143.54727030625833
