Trajectory ID,Mol smiles,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number
9425,COCC(CNCC(CF)OC(=O)[Au])O[Cu],1.4005e+0,4.6771e+2,1.9000e+1,1.3494e+0,7.5748e-5,3.2294e-8,1.2608e-8,1.5264e-8,-1.6276e-1
9426,O=C(CCNC(=O)COC(=O)[Au])NCCN[Cu],1.4735e+0,4.7572e+2,1.3000e+1,1.4561e+0,6.9520e-5,1.3173e-8,1.1058e-8,8.6369e-9,3.1753e-1
9427,NC(=O)C(COC(=O)[Au])NC(=O)CCO[Cu],1.4422e+0,4.6268e+2,1.7000e+1,1.5336e+0,1.0438e-4,1.3974e-8,1.9522e-8,9.1832e-9,5.2974e-1
9428,CC(COC(=O)[Au])COC(=O)C(C)(C)CO[Cu],1.4327e+0,4.7675e+2,1.6000e+1,1.2767e+0,2.6533e-5,2.4210e-8,1.1925e-8,1.4027e-8,-3.1916e-1
9429,COC(=O)CC(=O)NC(CO[Cu])COC(=O)[Au],1.4680e+0,4.7769e+2,2.6000e+1,1.4896e+0,3.8499e-5,1.3491e-8,6.5829e-9,8.6725e-9,8.0645e-2
9430,COC(=O)CC(=O)NCC(CO[Cu])OC(=O)[Au],1.4787e+0,4.7769e+2,3.1000e+1,1.4918e+0,4.1056e-5,9.1318e-9,9.8435e-9,7.4130e-9,4.3365e-1
9431,CC(O[Cu])C(=O)NC(C)C(C)(C)OC(=O)[Au],1.4418e+0,4.6174e+2,1.9000e+1,1.3114e+0,2.7746e-5,1.2522e-8,7.7754e-9,6.0794e-9,8.6028e-2
9432,CC(CCN(C)C(=O)CCN[Cu])OC(=O)[Au],1.4056e+0,4.6075e+2,1.6000e+1,1.3010e+0,3.1809e-5,1.4192e-8,8.0075e-9,8.0381e-9,1.5182e-1
9433,CC(CNC(COC(=O)[Au])C(N)=O)O[Cu],1.3868e+0,4.4870e+2,1.9000e+1,1.4089e+0,8.4612e-5,1.8708e-8,1.1501e-8,9.1850e-9,1.5487e-1
9434,CC(C)NC(=O)NCC(COC(=O)[Au])O[Cu],1.3230e+0,4.6272e+2,3.1000e+1,1.3680e+0,7.2499e-5,2.8173e-8,1.5267e-8,7.8734e-9,1.3654e-1
9435,CC(CO[Cu])(COC(=O)[Au])NC(=O)CC#N,1.3782e+0,4.5869e+2,2.6000e+1,1.4349e+0,5.6401e-5,1.4038e-8,1.4658e-8,9.6286e-9,4.1853e-1
9436,CSCC(CNCC(C)O[Cu])OC(=O)[Au],1.4135e+0,4.6579e+2,1.9000e+1,1.3122e+0,6.8222e-5,3.3936e-8,1.8016e-8,2.6658e-8,-3.4443e-2
9437,C#CCC(N[Cu])C(=O)NCCNC(=O)[Au],1.4398e+0,4.4171e+2,1.9000e+1,1.4185e+0,7.1595e-5,1.3952e-8,1.0623e-8,5.5587e-9,2.2528e-1
9438,CCCN(CC(C)OC(=O)[Au])C(C)CO[Cu],1.4415e+0,4.6178e+2,1.9000e+1,1.1977e+0,3.3876e-5,3.5088e-8,2.2717e-8,2.1992e-8,1.6940e-1
9439,COCCC(COC(=O)[Au])NC(=O)CCO[Cu],1.4923e+0,4.7773e+2,1.7000e+1,1.3817e+0,6.4606e-5,2.0025e-8,9.0769e-9,1.3047e-8,9.0499e-2
9440,CC(CN(C)CC(C)(O[Cu])C(F)F)OC(=O)[Au],1.4633e+0,4.8373e+2,1.9000e+1,1.3628e+0,8.8543e-5,4.0724e-8,1.5225e-8,1.5951e-8,-9.6969e-2
9441,CCN(CCCCO[Cu])CCNC(=O)[Au],1.3842e+0,4.4677e+2,1.6000e+1,1.2006e+0,1.1879e-4,4.3032e-8,2.7600e-8,3.2617e-8,2.9515e-1
